Type,Data,Note"
URL,http://www.sportkindergarten.com/blog/2020/06/mv-app-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://www.sportkindergarten.com/blog/2020/06/minecraft-pocket-edition-zum-herunterladen-kostenlos/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://www.sportkindergarten.com/blog/2020/06/lvm-app-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://www.sportkindergarten.com/blog/2020/06/kostenlos-von-youtube-downloaden/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://www.sportkindergarten.com/blog/2020/06/kalender-2020-excel-zum-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://healthtimes.live/bootcamp-downloaden-voor-mac/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://www.lefrancaisfaceaface.com/down.php?tuwikl=rcmdjwa&id=6b526c76744565536e61364d35653672746f6b575769645142616d7875586c59337838365175466b3546733d&xnnaqok=oyykiy,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://www.marinaplace.it/down.php?cewsstz=vqnsxqt&id=343975502f76577764493363536449716e6a3850337a52594c766d485a72595156506e6248307a767758553d&scswojoipa=ertwp,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://videodeboda.com/coole-spiele-downloaden/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://helikon-mta.dk/2020/06/11/amazon-prime-serien-auf-mac-downloaden/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://www.lenabloch.com/amazon-app-store-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://muabandatnen.org/windows-8-1-kostenlos-downloaden.html,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://hungthinhland.online/windows-8-1-kostenlos-downloaden.html,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://mindlifeskills.com/spotify-player-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://www.cinedetour.it/newsletter/2020/06/16/nemetschek-allplan-kostenlos-downloaden/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://demo.smart-verticals.eu/dumont/2020/06/21/downloaden-van-nickelodeon/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://msprogrammer.serviciipeweb.ro/2020/06/18/ableton-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://risingsunflower.com/wordpress/2020/06/wo-kann-ich-legal-musik-downloaden/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,http://montelt.homepage.t-online.de/wordpress/index.php/spotify-lieder-herunterladen/,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://creaturekind.com/index.php?p=42478,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
URL,https://www.mangoes-and-bullets.org/down.php?duyfmwuo=jbypzr&id=3850565169706f3176454559764a6b38694d753974745935555a307641514465734c303d&sakcrp=nmbseqvx ,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,sportkindergarten.com,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
DOMAIN,healthtimes.live,"Used for distribution of malware; Can easily be found via a google search (good SEO)"
